STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,AGG_METHOD,AGG_METHOD_LABEL,DECIMALS,DECIMALS_LABEL,DATABASE_ID,DATABASE_ID_LABEL,COMMENT_TS,UNIT_MULT,UNIT_MULT_LABEL,DATA_SOURCE,DATA_SOURCE_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,COMMENT_OBS,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,URY,Uruguay,WB_WDI_ER_H2O_FWTL_ZS,"Annual freshwater withdrawals, total (% of internal resources)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1968,0.9848156182212582,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Annual freshwater withdrawals, total (% of internal resources)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,BRB,Barbados,WB_WDI_ER_H2O_FWTL_ZS,"Annual freshwater withdrawals, total (% of internal resources)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1969,50.625,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Annual freshwater withdrawals, total (% of internal resources)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,URY,Uruguay,WB_WDI_ER_H2O_FWTL_ZS,"Annual freshwater withdrawals, total (% of internal resources)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1969,1.078091106290672,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Annual freshwater withdrawals, total (% of internal resources)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,DZA,Algeria,WB_WDI_ER_H2O_FWTL_ZS,"Annual freshwater withdrawals, total (% of internal resources)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,17.78251978305326,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Annual freshwater withdrawals, total (% of internal resources)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,BRB,Barbados,WB_WDI_ER_H2O_FWTL_ZS,"Annual freshwater withdrawals, total (% of internal resources)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,52.5,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Annual freshwater withdrawals, total (% of internal resources)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,DNK,Denmark,WB_WDI_ER_H2O_FWTL_ZS,"Annual freshwater withdrawals, total (% of internal resources)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,12,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Annual freshwater withdrawals, total (% of internal resources)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,FIN,Finland,WB_WDI_ER_H2O_FWTL_ZS,"Annual freshwater withdrawals, total (% of internal resources)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,3.08411215,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Annual freshwater withdrawals, total (% of internal resources)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,GHA,Ghana,WB_WDI_ER_H2O_FWTL_ZS,"Annual freshwater withdrawals, total (% of internal resources)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,0.99009901,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Annual freshwater withdrawals, total (% of internal resources)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,GRC,Greece,WB_WDI_ER_H2O_FWTL_ZS,"Annual freshwater withdrawals, total (% of internal resources)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,7.334482758620689,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Annual freshwater withdrawals, total (% of internal resources)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,HUN,Hungary,WB_WDI_ER_H2O_FWTL_ZS,"Annual freshwater withdrawals, total (% of internal resources)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,49.67333333333333,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Annual freshwater withdrawals, total (% of internal resources)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,ISR,Israel,WB_WDI_ER_H2O_FWTL_ZS,"Annual freshwater withdrawals, total (% of internal resources)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,205.79,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Annual freshwater withdrawals, total (% of internal resources)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,ITA,Italy,WB_WDI_ER_H2O_FWTL_ZS,"Annual freshwater withdrawals, total (% of internal resources)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,22.79452054794521,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Annual freshwater withdrawals, total (% of internal resources)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,LUX,Luxembourg,WB_WDI_ER_H2O_FWTL_ZS,"Annual freshwater withdrawals, total (% of internal resources)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,3.48,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Annual freshwater withdrawals, total (% of internal resources)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,POL,Poland,WB_WDI_ER_H2O_FWTL_ZS,"Annual freshwater withdrawals, total (% of internal resources)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,18.86753731343283,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Annual freshwater withdrawals, total (% of internal resources)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,ROU,Romania,WB_WDI_ER_H2O_FWTL_ZS,"Annual freshwater withdrawals, total (% of internal resources)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,22.62859839546956,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Annual freshwater withdrawals, total (% of internal resources)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,SWE,Sweden,WB_WDI_ER_H2O_FWTL_ZS,"Annual freshwater withdrawals, total (% of internal resources)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,2.381871345,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Annual freshwater withdrawals, total (% of internal resources)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,UGA,Uganda,WB_WDI_ER_H2O_FWTL_ZS,"Annual freshwater withdrawals, total (% of internal resources)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,0.5128205128205128,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Annual freshwater withdrawals, total (% of internal resources)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,URY,Uruguay,WB_WDI_ER_H2O_FWTL_ZS,"Annual freshwater withdrawals, total (% of internal resources)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,1.171366594360087,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Annual freshwater withdrawals, total (% of internal resources)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,VEN,"Venezuela, RB",WB_WDI_ER_H2O_FWTL_ZS,"Annual freshwater withdrawals, total (% of internal resources)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,0.5093167701863354,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Annual freshwater withdrawals, total (% of internal resources)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,DZA,Algeria,WB_WDI_ER_H2O_FWTL_ZS,"Annual freshwater withdrawals, total (% of internal resources)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1971,18.67164577220592,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Annual freshwater withdrawals, total (% of internal resources)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
